Video ID,Song Title,Album Title,Artist Name 1,Artist Name 2,Artist Name 3
-3KT1f7WZIo,Afsos,Afsos,Anuv Jain,AP Dhillon,
VyDqOPjjkOI,After Life,After Life,Lowx,,
DmVAnLCOqAg,Akh Laal Jatt Di,G.O.A.T.,DILJIT DOSANJH,,
Vk8QSqPC5TA,And So It Begins,Chillin' In Tonight's Sky,Artificial.Music,,
mkhRRLRUqLY,archangel (Slowed),archangel (Slowed),DJ Anemia,Crier,sixnite
Rybjj4Gpm_A,Aria,Aria,Argy,Omnya,
y2bgakDUSf4,BOCA,Boca,Berywam,,
Lq0S1lqEjxo,Born to Shine,G.O.A.T.,DILJIT DOSANJH,,
1b9poX5k7zo,"Bulleya (From ""Sultan"")",Sultan,Vishal and Sheykhar,Papon,
5Rg0Foxmq1k,Champagne,MoonChild Era,Diljit Dosanjh,,
xAu5vlQO5ZM,Chuwe Mor Jawani,Chuwe Mor Jawani,Samar Singh,Sunil Yadav,Rahul Rakhi
4EQkYVtE-28,Circles,Hollywood's Bleeding,Post Malone,,
3E7eS4yA-vw,Clash,G.O.A.T.,DILJIT DOSANJH,,
mwVo9zBx59c,COM MEDO! (Sped Up),COM MEDO!,Sayfalse,Scythermane,
GSup7sP2IwQ,Desperado,ANTI,Rihanna,,
0_dhbcHmrVA,Dhani Ho Sab Dhan,Dhani Ho Sab Dhan,Pawan Singh,Shivani Singh,
XJWQLq1oPAc,DIA DELÍCIA,DIA DELÍCIA,Nakama,ΣP,
95XmCt17-Dg,Drained,Drained,auritni,,
jQjdEDWDeQ8,Engel,Sehnsucht,Rammstein,,
You1CxVrDO0,Fainted (Sped Up),Fainted (Sped Up),Narvent,,
w-pQ5nZoeZk,Faraar,G.O.A.T.,DILJIT DOSANJH,,
tznwZUDjTU8,G.O.A.T.,G.O.A.T.,DILJIT DOSANJH,,
39fdxGmYfvg,Gulabi Aankhen,Universally SANAM,Sanam,,
A0R0sefj0Gs,Habit,G.O.A.T.,DILJIT DOSANJH,,
f54KzoS6wTo,Haye Re Garmiya,Haye Re Garmiya,Khesari Lal Yadav,Arya Sharma,Adarsh Singh
6GTHQdcZGxU,Hot Coffee,1200AM,Johna,,
3PtBL7cIMtk,Intro,G.O.A.T.,DILJIT DOSANJH,,
3lCcCDk6DWM,Jarico (Island),Jarico (Island),HamdiGünerSounds,,
tXkHCy0Heho,Jatti,G.O.A.T.,DILJIT DOSANJH,,
XPu9ZE4Onzc,Kya Mujhe Pyar Hai,Woh Lamhe,K.K.,,
o6ojv9uUezU,Love Mera Hit Hit,Billu,Neeraj Shridhar,Tulsi Kumar,
_hFWMQqWMiE,Mero Chocolate Ko Lehnga,Mero Chocolate Ko Lehnga,Sandhya Choudhary,,
o6phwsYvyKY,Navi Navi Yaari,G.O.A.T.,DILJIT DOSANJH,,
kGAA2bnQnAY,Pala Satake,Sarkar Raj (Original Motion Picture Soundtrack),Pawan Singh,,
QZlvQC3ZUN8,Paparazzi,Paparazzi,Kim Dracula,,
XgfPyoPCCJw,Patola,G.O.A.T.,DILJIT DOSANJH,,
D0vPqFNXO-Y,Peed,G.O.A.T.,DILJIT DOSANJH,,
iynJ-kaih6s,Pyaar,G.O.A.T.,DILJIT DOSANJH,,
BIEfYUDy3iQ,Range,G.O.A.T.,DILJIT DOSANJH,,
v_jmYSUdMUg,SLAY ENOUGH!,SLAY ENOUGH!,Eternxlkz,,
9xGajgEhnXk,Taare,G.O.A.T.,DILJIT DOSANJH,,
ADZxvnABo_g,Take Me Deep (Radio Edit),Take Me Deep (Radio Edit),RBØR,,
CI_bb2MPhdU,Track Suit,G.O.A.T.,DILJIT DOSANJH,,
rkSxdwcpN6A,UNKE ANDAZ E KARAM,UNKE ANDAZ E KARAM,Ramarama,,
goAsviM_GMM,Victory,Victory,MGJ,,
hXBLTbE22vg,Whiskey,G.O.A.T.,DILJIT DOSANJH,,
sg9nAyoYlA0,Work All Day,Grime 2015,Footsie,,
Zmr4KAPk958,Zangalewa,Caporal Grille,Zangalewa,,
p_ugOu-7M-g,Положение (Chicagoo Remix),ПОЛОЖЕНИЕ СБОРНИК РЕМИКСОВ,DIOR,SAMO,





